crLowerLeft			czLowerLeft			crUpperLeft			czUpperLeft			dsa			psiSOLPS			
1.28883379			-0.24153842			1.28900222			-0.24154765			-0.10817856015924884			0.5659140162391905			
1.28900222			-0.24154765			1.30584496			-0.24247054			-0.09990042377111603			0.5963555275002728			
1.30584496			-0.24247054			1.32043718			-0.2434393			-0.0846133267035689			0.6536552578438456			
1.32043718			-0.2434393			1.33310966			-0.24441337			-0.0713664335482361			0.7050762175598801			
1.33310966			-0.24441337			1.34409593			-0.24536088			-0.05987293296951107			0.7508349626493466			
1.34409593			-0.24536088			1.35366179			-0.24626679			-0.049898929370704115			0.7913287400817767			
1.35366179			-0.24626679			1.36195026			-0.24711553			-0.04124897557162459			0.8269818159306656			
1.36195026			-0.24711553			1.36907735			-0.24789395			-0.03377954856336941			0.8580620592904494			
1.36907735			-0.24789395			1.37517847			-0.24859694			-0.02737025239404635			0.8849036943341866			
1.37517847			-0.24859694			1.38036722			-0.24922289			-0.02191068496806607			0.9078943241804054			
1.38036722			-0.24922289			1.38473588			-0.24977038			-0.017292192441575246			0.9273863171599208			
1.38473588			-0.24977038			1.38835173			-0.25023778			-0.013432437532237718			0.9436731345200772			
1.38835173			-0.25023778			1.39130741			-0.25063008			-0.01025503971802598			0.9570694084792017			
1.39130741			-0.25063008			1.39369867			-0.25095462			-0.00766848237493005			0.9679582853063065			
1.39369867			-0.25095462			1.39564201			-0.2512231			-0.005577570403317772			0.9767753794288327			
1.39564201			-0.2512231			1.39719398			-0.25144046			-0.0038936225714468614			0.9838774991428232			
1.39719398			-0.25144046			1.39843916			-0.25161666			-0.002540280074319473			0.9895557802400385			
1.39843916			-0.25161666			1.3994633			-0.2517628			-0.0014428354897131068			0.994159069807814			
1.3994633			-0.2517628			1.4003526			-0.25189061			-0.0005202548013382713			0.998038025709593			
1.4003526			-0.25189061			1.40162196			-0.25206461			0.0005202548013382852			1.002408001100278			
1.40162196			-0.25206461			1.40288695			-0.25223645			0.0017412877642430796			1.0075315652744075			
1.40288695			-0.25223645			1.40414908			-0.25240732			0.0029587093458706415			1.0126347566277358			
1.40414908			-0.25240732			1.40540863			-0.25257777			0.004173484315468989			1.0177216573690058			
1.40540863			-0.25257777			1.40666592			-0.25274816			0.005385479979830576			1.0227937376988292			
1.40666592			-0.25274816			1.40792129			-0.25291872			0.0065946993526905945			1.0278524870411196			
1.40792129			-0.25291872			1.40916625			-0.25308826			0.007799836184615799			1.032881578132648			
1.40916625			-0.25308826			1.4104416			-0.25326316			0.009009678339736343			1.037946167993934			
1.4104416			-0.25326316			1.41171642			-0.25343873			0.010226892341373167			1.0430661276006372			
1.41171642			-0.25343873			1.4129911			-0.25361506			0.011443929068697442			1.0481798900037944			
1.4129911			-0.25361506			1.41426596			-0.25379213			0.012666850670040336			1.0532888591335654			
1.41426596			-0.25379213			1.41553692			-0.2539693			0.013891570075914711			1.0583854581418835			
1.41553692			-0.2539693			1.4168084			-0.25414758			0.015112086991656865			1.063470485404721			
1.4168084			-0.25414758			1.41808074			-0.25432719			0.016332974621876967			1.0685536663898092			
1.41808074			-0.25432719			1.4193543			-0.2545082			0.0175550249181618			1.0736364598186299			
1.4193543			-0.2545082			1.42062945			-0.25469067			0.018778594838134655			1.078720324262754			
1.42062945			-0.25469067			1.42190656			-0.25487461			0.020003969353135337			1.0838067125274635			
1.42190656			-0.25487461			1.42318247			-0.25505974			0.021230335606628042			1.088890114520717			
1.42318247			-0.25505974			1.42319523			-0.25506159			0.021849669506929625			1.0914548938926867			
